Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
18,Противни,1925,702,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-02-14,2020-03-10,3.64,Cancelled
19,Картофель,4275,303,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2003-11-01,2005-05-12,2.28,On Backorder
20,Масло сливочное,2312,904,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1999-01-04,2009-04-16,2.78,Returned
21,Стаканы,8262,345,Товары для дома,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1991-01-13,2007-01-02,2.83,Cancelled
22,Молоко,8688,387,Молочные продукты,Отличается хорошим сочетанием с различными специями и приправами.,1992-02-09,1995-06-06,3.09,New
23,Шпинат,4161,479,Овощи,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2014-05-14,2018-04-02,0.13,On Backorder
24,Манты,7475,515,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2006-01-03,2029-04-01,2.48,Temporarily Unavailable
25,Моцарелла,5721,977,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2008-02-05,2009-01-04,3.23,Refunded
26,Schweppes Tonic Water,4592,422,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2005-08-01,2011-07-17,4.92,Sold
27,Индейка,274,663,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2009-03-10,2028-07-15,0.34,Returned
28,Пастернак,3982,527,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1996-05-04,2013-01-04,0.01,Backorder
29,Пакеты для театра,8426,288,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1995-01-06,2028-02-16,0.68,Awaiting Review
30,Гель после бритья,4165,653,Товары для дома,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2014-04-18,2018-04-17,0.68,Pending
31,Тыква,3612,202,Овощи,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2007-01-01,2013-07-07,1.23,New
32,Наволочки,3985,167,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2005-09-01,2017-01-01,3.52,Awaiting Review
33,Кабанятина,9506,439,Мясо,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2010-02-11,2015-05-07,2.71,Awaiting Review
34,Мандарин,9026,149,Фрукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1994-01-02,2018-08-08,3.47,Awaiting Payment
35,Топлёное молоко,4320,991,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1994-07-01,2020-01-12,0.03,Cancelled
36,Компот из сухофруктов,1659,284,Напитки,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1996-05-02,2023-10-05,1.53,Sold
37,Пакеты для Всемирного дня книг,4728,56,Товары для дома,Прошел сертификацию на соответствие требованиям органических стандартов.,1996-03-08,2005-04-08,4.29,Awaiting Review
38,Сыворотка молочная,8931,40,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1997-10-02,2024-09-03,3.94,On Backorder
39,Пакеты для рыбалки,424,449,Товары для дома,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1992-05-08,2016-02-21,4.84,Shipping
40,Шейка,3063,105,Мясо,Отличается простотой в использовании и хранении.,1995-02-21,2004-02-05,4.32,Shipping
41,Сельдерей сушеный,3930,893,Бакалея,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1995-02-19,2018-05-01,0.73,New
42,Блины с мясом,5477,275,Мясо,Придает блюдам особую нежность и насыщенность.,1995-01-02,2030-03-08,3.26,Sold
43,Цукини,6430,441,Овощи,Помогает укреплять стенки сосудов и улучшать кровообращение.,2014-01-14,2019-01-25,1.41,Sold
44,Пастернак,821,259,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,2008-03-04,2017-07-09,3.31,Cancelled
45,Курт,7865,964,Молочные продукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1997-01-15,2028-03-07,2.04,Sold
46,Йогурт,1662,483,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2009-06-08,2012-01-26,2.93,Backorder
47,Кондиционер для белья,9939,9,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2002-05-19,2010-07-15,4.5,Out of Stock
48,Петрушка корневая,9491,544,Овощи,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2004-07-15,2016-05-22,4.84,Refunded
49,Жемчужина Байкала,7294,887,Напитки,Отличается легкостью в переваривании и усвоении организмом.,1991-03-12,2021-03-13,4.86,Refunded
50,Каша из дробленой ячменя,6892,12,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2017-03-15,2025-02-01,4.73,Available for Pickup
51,Картофель,4719,306,Овощи,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2013-03-21,2030-01-19,2.81,Awaiting Payment
52,Пакеты для документов,2796,986,Товары для дома,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2021-07-01,2023-03-22,1.19,Backorder
53,Черника,784,89,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1999-01-08,2018-01-16,4.6,Cancelled
54,Моцарелла,8937,892,Молочные продукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1997-03-10,2028-03-05,3.63,Pending
55,Амурская,7101,742,Напитки,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1998-04-02,2017-02-21,2.52,Refunded
56,Камамбер,5496,817,Молочные продукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1994-01-04,2002-08-09,2.85,Refunded
57,Чай черный,5817,335,Бакалея,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2011-02-06,2029-02-04,3.73,In Stock
58,Язык,7977,33,Мясо,Отличается простотой в использовании и хранении.,2004-05-04,2017-02-01,3.69,Available for Pickup
59,Моющее средство для посуды,4729,554,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2001-01-10,2008-03-02,4.97,Awaiting Review
60,Репа,1983,139,Овощи,Подходит для использования в качестве основы для смузи и коктейлей.,2016-09-24,2030-04-02,0.51,Shipping
61,Российский сыр,554,72,Молочные продукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-01-11,2017-01-06,3.71,Temporarily Unavailable
62,Ивантеевская,6917,477,Напитки,Подходит для людей с чувствительным пищеварением.,2018-01-02,2018-01-02,4.48,Awaiting Review
63,Груша,2396,374,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2015-01-01,2016-05-02,3.32,Pending
64,Апельсин,288,502,Фрукты,Широко используется в традиционной и современной кухне.,1991-01-06,2020-05-17,3.52,Temporarily Unavailable
65,Клубника,4453,93,Фрукты,Подходит для использования в специализированных диетах и лечебных программах.,1995-01-01,2024-03-20,2.39,Out of Stock
66,Дыня,3981,779,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1997-01-01,2008-05-06,3.77,Backorder
67,Моцарелла,378,137,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2016-04-04,2016-12-05,2.49,Cancelled
68,Куриные бедра,3919,336,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2016-03-06,2030-08-12,0.05,Sold
69,Брынза,9271,559,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2011-07-22,2018-03-12,2.63,Available for Pickup
70,Лавровый лист,7152,459,Бакалея,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1996-01-20,2004-02-11,3.33,Returned
71,Курица,2046,334,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1994-02-08,2009-01-03,2.64,Awaiting Review
72,Кровянка,3661,757,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2004-03-11,2021-08-03,0.34,Awaiting Review
73,Кольраби,642,531,Овощи,Является важным компонентом сбалансированного рациона питания.,2009-01-10,2017-07-13,2.33,Awaiting Review
74,Спаржа,980,304,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2017-04-09,2025-07-02,3.09,Temporarily Unavailable
75,Робот-пылесос,5697,414,Товары для дома,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2016-05-01,2027-11-06,1.47,Cancelled
76,Мандарин,4279,205,Фрукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2010-10-01,2021-02-23,1.12,Cancelled
77,Салями,7960,618,Мясо,Служит основой для создания множества кулинарных шедевров.,1993-02-03,2010-05-08,1.18,Cancelled
78,Чеснок,1535,517,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2006-01-09,2019-05-13,4.02,Awaiting Review
79,Портулак,1765,346,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-01-01,2008-10-07,2.81,In Stock
80,Помидор,8657,529,Овощи,Прошел сертификацию на соответствие требованиям органических стандартов.,2019-06-06,2022-02-04,1.57,Returned
81,Брокколи,4602,499,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2002-02-04,2012-01-05,2.74,Sold
82,Петрушка корневая,7224,378,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",1996-04-08,2027-01-08,2.83,Delivered
83,Брынза,9323,943,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2005-07-06,2017-07-03,4.73,On Backorder
84,Черника,9869,95,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1992-03-17,1994-04-03,0.05,Temporarily Unavailable
85,Авокадо,9723,330,Фрукты,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2012-05-04,2028-07-06,0.93,Cancelled
86,Масло подсолнечное,835,944,Бакалея,Помогает укрепить иммунную систему и защитить организм от инфекций.,1998-02-08,2028-06-16,0.71,New
87,Грейпфрут,5364,274,Фрукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1992-01-13,2015-06-01,1.92,Sold
88,Корейка,2725,746,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,1992-05-05,1994-04-07,0.27,New
89,Sprite Zero,3469,204,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2001-02-04,2012-07-02,3.33,Pending
90,Нектарин,6113,810,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2016-01-05,2021-02-17,4.79,Awaiting Review
91,Сок грейпфрутовый,2060,124,Напитки,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1993-02-19,2023-03-13,1.6,Refunded
92,Каша из проса,3728,445,Бакалея,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2000-01-25,2001-03-04,2.44,In Stock
93,Цветная капуста,5454,490,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2001-02-08,2019-02-13,0.73,New
94,Пензенская,6152,715,Напитки,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2015-03-24,2020-01-02,1.25,On Backorder
95,Авокадо,2683,525,Фрукты,Широко используется в традиционной и современной кухне.,1998-03-06,2006-05-01,4.63,Sold
96,Карбонад,7590,938,Мясо,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2001-05-05,2027-05-07,1.32,On Backorder
97,Карамбола,3951,28,Фрукты,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1995-02-04,2003-05-13,4.45,Pending
98,Томская,3252,869,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,1990-06-02,2005-03-13,0.21,Temporarily Unavailable
99,Розмарин сушеный,2720,332,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-01-13,2020-01-05,3.76,Cancelled
100,Рамбутан,5987,881,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2007-01-19,2024-01-02,1.31,Temporarily Unavailable
101,Помело,4457,323,Фрукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,2008-04-01,2025-07-21,3.71,Pending
102,Карбонад,6058,100,Мясо,Подходит для использования в рационе людей с повышенным давлением.,1990-08-01,2029-03-12,1.22,Awaiting Review
103,Зубная щетка,8102,879,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1996-02-04,1998-01-02,0.25,Awaiting Review
104,Кардамон молотый,903,219,Бакалея,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1993-02-02,2001-01-08,0.69,In Stock
105,Пакеты для музея,9090,223,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1992-03-02,1996-04-19,4.99,Pending
106,Пажитник сушеный,4866,738,Бакалея,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1999-03-22,2000-03-10,0.17,Shipping
107,Варенец,4097,660,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2010-11-13,2028-06-02,3.11,Delivered
108,Пирожки с мясом,8832,168,Мясо,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2006-01-07,2016-01-01,0.45,Temporarily Unavailable
109,Саратовская,7734,317,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1995-05-07,2010-03-02,0.13,Shipping
110,Лимон,5271,74,Фрукты,Помогает сохранять бодрость и активность в течение дня.,1997-04-01,2007-05-09,2.19,Cancelled
111,Инжир,1309,787,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,1999-03-06,2023-05-02,4.04,New
112,Растительное масло кунжутное,5126,228,Бакалея,Отличается низким содержанием насыщенных жиров и холестерина.,1998-08-01,2006-06-04,3.17,Temporarily Unavailable
113,Кумыс,7770,163,Напитки,Отличается хорошим сочетанием с различными специями и приправами.,2021-07-02,2022-01-07,4.64,Cancelled
114,"Экзотические виды мяса (например, страус, кенгуру)",3999,128,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2015-05-09,2024-04-03,1.72,Awaiting Review
115,Ямс,628,595,Овощи,Придает блюдам особую нежность и насыщенность.,2009-05-01,2014-02-18,3.49,Awaiting Payment
116,Куриные крылышки,6107,679,Мясо,Подходит для людей с чувствительным пищеварением.,2022-06-02,2030-05-08,2.08,Sold
117,Айран,2772,450,Молочные продукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2003-12-08,2018-10-21,0.73,Shipping
118,Турнепс,1605,342,Овощи,Способствует поддержанию нормальной микрофлоры кишечника.,2015-04-04,2019-01-06,3.74,Backorder
119,Гранат,2950,883,Фрукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2006-01-15,2007-11-01,0.89,Refunded
120,Портулак,5433,447,Овощи,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2022-02-02,2028-07-08,4.0,Awaiting Payment
121,Куриные голени,5823,406,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,1991-02-21,2022-04-04,2.59,Backorder
122,Копчености,3634,565,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2006-01-02,2011-02-05,1.87,Cancelled
123,Пакеты для растений,9328,558,Товары для дома,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2002-05-09,2004-07-19,3.92,Sold
124,Каша из гречки зеленой,9044,574,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2012-04-06,2013-07-09,3.9,Sold
125,Куриные голени,3490,240,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2018-05-15,2024-11-13,4.42,Refunded
126,Айва,4709,719,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1996-02-03,2027-03-05,0.16,Shipping
127,Гранат,2983,878,Фрукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2019-05-06,2029-05-01,3.56,Available for Pickup
